Lp.;Wytwórca;Model;Na indywidualne zamówienie;Kod;Nazwa;Kod środka;Nazwa środka;Cena
1;JZO;NIE DOTYCZY;NIE;2282;SZKŁO OKULAROWE;O.01.01.00.B.PR ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR- DO BLIŻY DOROŚLI, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                          ;25,00
2;UNIVERCE OPTICAL;IN.1,5 WG;NIE;1589;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;25,00
3;SZAJNA;CR 1,56 A;NIE;1954;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;134,00
4;RAKO;CR 1,59;NIE;1884;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;75,00
5;SZAJNA;OPTIPLAST IN 1,56 ASF;NIE;1599;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;149,00
6;JZO;IZOPLAST 150 TOPAZ;NIE;1584;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;39,00
7;JZO;NIE DOTYCZY;NIE;1449;SZKŁO OKULAROWE;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;25,00
8;TARGET;CR/60;NIE;1904;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;45,00
9;SZAJNA;NIE DOTYCZY;NIE;1453;SZKŁO OKULAROWE;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;120,00
10;NEOLENS;IN.1,5;NIE;1592;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;25,00
11;RAKO;CR 1,56 SPM;NIE;1883;SOCZEWKA OKULAROWA;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;69,00
12;SZAJNA;NIE DOTYCZY;NIE;1546;SZKŁO OKULAROWE;O.01.01.01.B    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;169,00
